readout,band,s,p,z,rank_biserial,n_pat,obs_med,surr_med,margin_med,n_above,frac_pos,exclusion_reason,rho_obs_null,rho_margin_null,loo_p_max,loo_p_min,loo_worst_patient,loo_log10_swing,margin_mean,ci_lo,ci_hi,fpr_05,fpr_01,calibrated,q
T,theta,0.02,0.0654296875,1.5799062934566392,0.5636363636363636,10,0.11657851735507116,0.0981188714504242,0.017149578584559892,0,0.8,,0.6121212121212121,0.2727272727272727,0.125,0.013671875,Pat_03,0.9610819339696304,0.013718672714548647,-0.00034864996072116585,0.026372796366163853,0.06666666666666667,0.0,True,0.12867838541666668
T,theta,0.026827870768216803,0.3125,0.5606119105813882,0.2,10,0.10283671356337612,0.10096911992877722,0.0006557045464450559,0,0.5,,-0.35757575757575755,-0.5151515151515151,0.5,0.1796875,Pat_14,0.4444521379662943,0.00805444883833452,-0.007837919838962235,0.024740308392953606,0.06666666666666667,0.06666666666666667,True,0.4609375
T,theta,0.03598673249780708,0.8837890625,-1.1721885403065389,-0.41818181818181815,10,0.0905813751670436,0.10390180256217718,-0.010800961713020495,1,0.4,,-0.05454545454545454,-0.24848484848484845,0.98046875,0.8203125,Pat_15,0.07745442674711887,-0.005930266226815639,-0.022549128020340932,0.017157962132643395,0.06666666666666667,0.0,True,0.9147992050438597
T,theta,0.048272370441077836,0.1875,0.9683296637314885,0.34545454545454546,10,0.10904995370148185,0.09520292282104492,0.01243967140810174,0,0.7,,-0.2606060606060606,-0.5151515151515151,0.28515625,0.048828125,Pat_03,0.7664128471123994,0.005310447881795154,-0.01086516055991314,0.019124372616238016,0.0,0.0,True,0.31607142857142856
T,theta,0.06475224579343625,,0.7644707871564383,0.2727272727272727,10,0.10544392128152097,0.10362936090677977,0.0012810289722824664,0,0.6,,0.18787878787878787,0.006060606060606061,0.41015625,0.1015625,Pat_06,0.6062159510991201,0.0036284511539222742,-0.006928470800184435,0.01464900235682149,0.2,0.0,False,
T,theta,0.08685824410490588,0.34765625,0.458682472293863,0.16363636363636364,10,0.10459719593105074,0.09576168097555637,0.0016789350366160083,1,0.6,,-0.11515151515151514,-0.3696969696969697,0.544921875,0.1796875,Pat_03,0.4818163759280423,0.006173236923071176,-0.01667253441842027,0.02943490711473765,0.0,0.0,True,0.5002858231707317
T,theta,0.11651108740003221,0.9814453125,-1.9876240466067396,-0.7090909090909091,10,0.08967609793957498,0.10310088796541095,-0.01067033214118377,0,0.2,,0.43030303030303024,0.0303030303030303,0.998046875,0.962890625,Pat_06,0.015573980857482718,-0.014769814276945176,-0.030100267553183437,-0.0004662978392933293,0.06666666666666667,0.0,True,0.9814453125
T,theta,0.1562872197916239,0.7216796875,-0.5606119105813882,-0.2,10,0.08638785993029854,0.09656844101846218,-0.004714737066269056,0,0.4,,-0.24848484848484845,-0.6363636363636362,0.875,0.544921875,Pat_07,0.20567381072454646,-0.007728234499842053,-0.02387286479926315,0.007780457098930393,0.0,0.0,True,0.8348843443627451
T,theta,0.20964266676467905,0.8623046875,-1.0702591020190138,-0.38181818181818183,10,0.08940922670756046,0.09822690207511187,-0.008683998473882362,0,0.2,,0.38181818181818183,-0.10303030303030303,0.962890625,0.751953125,Pat_08,0.10738618976872934,-0.005674168745372134,-0.015330783164986194,0.005062073070850424,0.0,0.0,True,0.9147992050438597
T,theta,0.28121331857335746,0.4228515625,0.2548235957188128,0.09090909090909091,10,0.10115133846619456,0.10278201196342707,-0.0015767477821322443,1,0.5,,0.09090909090909088,-0.34545454545454546,0.6328125,0.326171875,Pat_05,0.28782853905902883,0.005249012093093403,-0.008441244367132814,0.020133829995891125,0.0,0.0,True,0.5801916787790697
T,theta,0.3772177284493708,0.7841796875,-0.7644707871564383,-0.2727272727272727,10,0.09110072663540106,0.09616216272115707,-0.015593663396870454,0,0.3,,-0.07878787878787878,-0.13939393939393938,0.935546875,0.673828125,Pat_02,0.14251641834128911,-0.006110897979013796,-0.01855049877015878,0.007902799479096681,0.0,0.0,True,0.8897423377403846
T,theta,0.5059974235160012,0.4609375,0.15289415743128767,0.05454545454545454,10,0.10070338193758649,0.09949732385575771,0.0018805155661654055,1,0.5,,-0.1515151515151515,-0.7454545454545454,0.6328125,0.248046875,Pat_06,0.40674128925065534,-0.0012991721233017116,-0.018553972177302393,0.013073364463558949,0.06666666666666667,0.0,True,0.6180752840909091
T,theta,0.6787416743568971,0.1162109375,1.274117978594064,0.45454545454545453,10,0.1168036864237996,0.09970097709447145,0.017465124568386454,0,0.7,,0.29696969696969694,-0.17575757575757575,0.1796875,0.01953125,Pat_03,0.9637878273455553,0.0104378886135249,-0.005449012543181939,0.023785349213016446,0.0,0.0,True,0.20777107007575757
T,theta,0.9104596962324965,0.1875,0.9683296637314885,0.34545454545454546,10,0.09945592351180874,0.09647953324019909,0.0020950330928996425,1,0.5,,0.5636363636363636,0.12727272727272726,0.326171875,0.1015625,Pat_03,0.5067131275127841,0.008464339133613207,-0.0025396997896687487,0.02076228530829851,0.0,0.0,True,0.31607142857142856
T,theta,1.2212847535097677,0.65234375,-0.3567530340063379,-0.12727272727272726,10,0.09939158801513878,0.10131045244634151,0.0032605575450059474,0,0.5,,0.6969696969696969,0.5878787878787878,0.751953125,0.455078125,Pat_02,0.2181048084824817,-0.0028332812627871002,-0.015009242757898432,0.0077416800096615146,0.0,0.0,True,0.769765625
T,theta,1.638223476917678,0.2783203125,0.6625413488689132,0.23636363636363636,10,0.11392081529704118,0.09720136877149343,0.01208206590562931,0,0.6,,-0.4424242424242424,-0.5757575757575757,0.455078125,0.150390625,Pat_13,0.4808651958535371,0.006672079915414793,-0.011893895829739055,0.024747483765627937,0.06666666666666667,0.06666666666666667,True,0.42104867788461536
T,theta,2.197502386410313,0.615234375,-0.2548235957188128,-0.09090909090909091,10,0.09513048925088721,0.09661084972321987,-0.002209481758785027,0,0.4,,-0.11515151515151514,-0.6727272727272726,0.8203125,0.5,Pat_08,0.21500932508605092,-0.0005468840854860587,-0.013513842861814845,0.014579447082005426,0.0,0.0,True,0.7562255859375
T,theta,2.947715501773197,0.8623046875,-1.0702591020190138,-0.38181818181818183,10,0.08696956097764294,0.0987904304638505,-0.009316818043025692,0,0.3,,-0.10303030303030303,-0.41818181818181815,0.962890625,0.751953125,Pat_14,0.10738618976872934,-0.007298532140123425,-0.02045538674478921,0.007079599851537593,0.0,0.0,True,0.9147992050438597
T,theta,3.9540465271520318,0.24609375,0.7644707871564383,0.2727272727272727,10,0.11265662700817686,0.1003340482711792,0.01154834866835528,0,0.6,,0.11515151515151514,-0.16363636363636364,0.41015625,0.125,Pat_05,0.516039320750032,0.0073399255948353405,-0.005140653851216006,0.019736262098069505,0.06666666666666667,0.0,True,0.3820929276315789
T,theta,5.30393246209756,0.5771484375,-0.15289415743128767,-0.05454545454545454,10,0.10442148173895989,0.10134845692664385,-0.00552685714996759,0,0.4,,-0.06666666666666665,-0.10303030303030303,0.787109375,0.455078125,Pat_06,0.23794912511509048,0.00033502420860844764,-0.01332523910667693,0.015131919752846718,0.0,0.0,True,0.7245054853723404
